timestamp,emg_value,heart_rate
0.0,45,82
0.1,48,83
0.2,52,84
0.3,89,85
0.4,156,86
0.5,287,87
0.6,456,88
0.7,678,89
0.8,842,90
0.9,923,92
1.0,845,93
1.1,654,94
1.2,432,95
1.3,287,96
1.4,156,97
1.5,98,98
1.6,67,99
1.7,54,100
1.8,48,101
1.9,45,102
2.0,43,103
2.1,42,104
2.2,45,105
2.3,67,106
2.4,145,107
2.5,267,108
2.6,478,110
2.7,645,112
2.8,834,114
2.9,912,115
3.0,867,116
3.1,645,117
3.2,456,118
3.3,298,119
3.4,167,120
3.5,98,121
3.6,67,122
3.7,52,123
3.8,48,124
3.9,45,125
4.0,44,126
4.1,43,127
4.2,46,128
4.3,78,129
4.4,167,130
4.5,289,131
4.6,467,132
4.7,634,133
4.8,798,134
4.9,876,135
5.0,823,136
5.1,645,137
5.2,432,138
5.3,287,139
5.4,156,140
5.5,98,141
5.6,76,142
5.7,58,143
5.8,52,144
5.9,48,145
6.0,47,146
6.1,46,147
6.2,48,148
6.3,87,149
6.4,178,150
6.5,267,151
6.6,456,152
6.7,623,153
6.8,756,154
6.9,845,155
7.0,789,156
7.1,634,157
7.2,423,158
7.3,276,159
7.4,167,160
7.5,98,161
7.6,76,162
7.7,65,163
7.8,56,164
7.9,52,165
8.0,50,166
8.1,49,167
8.2,51,168
8.3,89,169
8.4,167,170
8.5,256,171
8.6,434,172
8.7,598,173
8.8,723,174
8.9,812,175
9.0,767,176
9.1,612,176
9.2,412,177
9.3,287,177
9.4,176,178
9.5,112,178
9.6,87,178
9.7,72,178
9.8,65,178
9.9,58,178
10.0,54,178
10.1,52,178
10.2,56,178
10.3,98,178
10.4,187,178
10.5,276,178
10.6,423,178
10.7,576,178
10.8,698,178
10.9,787,178
11.0,734,178
11.1,587,178
11.2,398,178
11.3,267,178
11.4,156,177
11.5,98,177
11.6,76,177
11.7,65,177
11.8,58,177
11.9,54,177
12.0,52,177
12.1,51,177
12.2,57,177
12.3,98,177
12.4,178,177
12.5,267,177
12.6,412,177
12.7,543,177
12.8,665,176
12.9,745,176
13.0,698,176
13.1,567,176
13.2,387,176
13.3,256,176
13.4,167,176
13.5,98,175
13.6,76,175
13.7,67,175
13.8,62,175
13.9,58,175
14.0,56,175
14.1,55,175
14.2,59,174
14.3,112,174
14.4,198,174
14.5,287,174
14.6,398,174
14.7,523,173
14.8,634,173
14.9,712,173
15.0,667,173
15.1,534,172
15.2,376,172
15.3,245,172
15.4,156,171
15.5,98,171
15.6,78,171
15.7,67,170
15.8,62,170
15.9,58,170
16.0,56,169
16.1,55,169
16.2,62,169
16.3,123,168
16.4,212,168
16.5,298,168
16.6,387,167
16.7,498,167
16.8,598,167
16.9,678,166
17.0,634,166
17.1,512,166
17.2,367,165
17.3,234,165
17.4,145,165
17.5,98,164
17.6,76,164
17.7,67,164
17.8,62,163
17.9,58,163
18.0,56,163
18.1,55,162
