timestamp,emg_value,heart_rate
0.0,125,72
0.1,142,73
0.2,156,74
0.3,187,75
0.4,234,76
0.5,378,77
0.6,567,79
0.7,789,81
0.8,912,83
0.9,856,85
1.0,654,87
1.1,432,89
1.2,234,90
1.3,187,92
1.4,156,94
1.5,143,96
1.6,178,98
1.7,267,100
1.8,456,102
1.9,678,104
2.0,845,106
2.1,923,108
2.2,867,110
2.3,654,112
2.4,432,114
2.5,234,116
2.6,167,118
2.7,145,120
2.8,134,122
2.9,156,124
3.0,234,126
3.1,345,128
3.2,567,130
3.3,789,132
3.4,867,134
3.5,812,136
3.6,645,138
3.7,456,140
3.8,234,142
3.9,167,144
4.0,145,146
4.1,134,148
4.2,167,150
4.3,245,152
4.4,456,154
4.5,678,156
4.6,812,158
4.7,845,160
4.8,756,162
4.9,567,164
5.0,345,166
5.1,234,167
5.2,167,168
5.3,145,169
5.4,156,170
5.5,234,171
5.6,345,172
5.7,567,173
5.8,745,174
5.9,812,175
6.0,756,176
6.1,645,177
6.2,456,178
6.3,234,179
6.4,167,180
6.5,145,180
6.6,134,180
6.7,156,180
6.8,234,180
6.9,456,180
7.0,678,180
7.1,789,180
7.2,734,180
7.3,645,180
7.4,456,180
7.5,234,180
7.6,167,180
7.7,145,180
7.8,134,180
7.9,156,180
8.0,234,180
8.1,345,180
8.2,567,180
8.3,723,180
8.4,756,180
8.5,689,180
8.6,567,180
8.7,345,180
8.8,234,179
8.9,167,179
9.0,145,179
9.1,134,179
9.2,156,179
9.3,234,179
9.4,456,179
9.5,634,179
9.6,712,179
9.7,678,179
9.8,567,179
9.9,345,179
10.0,234,179
10.1,167,179
10.2,145,179
10.3,134,179
10.4,156,178
10.5,234,178
10.6,345,178
10.7,567,178
10.8,645,178
10.9,623,178
11.0,567,178
11.1,345,178
11.2,234,178
11.3,167,178
11.4,145,178
11.5,134,177
11.6,156,177
11.7,234,177
11.8,345,177
11.9,512,177
12.0,589,177
12.1,567,177
12.2,456,177
12.3,345,177
12.4,234,177
12.5,167,176
12.6,145,176
12.7,134,176
12.8,156,176
12.9,234,176
13.0,345,176
13.1,478,176
13.2,534,176
13.3,512,176
13.4,456,176
13.5,345,175
13.6,234,175
13.7,167,175
13.8,145,175
13.9,134,175
14.0,156,175
14.1,234,175
14.2,345,175
14.3,423,175
14.4,478,175
14.5,456,174
14.6,423,174
14.7,345,174
14.8,234,174
14.9,167,174
15.0,145,174
15.1,134,174
15.2,156,174
15.3,234,174
15.4,312,173
15.5,389,173
15.6,423,173
15.7,412,173
15.8,378,173
15.9,312,173
16.0,234,173
16.1,167,173
16.2,145,172
16.3,134,172
16.4,156,172
16.5,234,172
