timestamp,emg_value,heart_rate
0.0,125,72
0.1,128,73
0.2,145,73
0.3,198,74
0.4,287,75
0.5,456,76
0.6,678,77
0.7,842,78
0.8,923,79
0.9,845,80
1.0,654,82
1.1,432,83
1.2,234,84
1.3,167,85
1.4,143,86
1.5,134,87
1.6,128,88
1.7,125,89
1.8,134,90
1.9,178,91
2.0,267,92
2.1,456,93
2.2,678,94
2.3,845,95
2.4,912,96
2.5,834,97
2.6,645,98
2.7,423,99
2.8,234,100
2.9,156,101
3.0,134,102
3.1,128,103
3.2,125,104
3.3,132,105
3.4,165,106
3.5,245,107
3.6,434,108
3.7,645,109
3.8,812,110
3.9,876,112
4.0,798,114
4.1,634,116
4.2,412,118
4.3,223,120
4.4,154,122
4.5,132,124
4.6,127,126
4.7,134,128
4.8,156,130
4.9,234,132
5.0,398,134
5.1,587,136
5.2,756,138
5.3,834,140
5.4,765,142
5.5,598,144
5.6,387,146
5.7,234,148
5.8,167,150
5.9,143,152
6.0,134,154
6.1,128,156
6.2,145,158
6.3,198,160
6.4,345,162
6.5,534,164
6.6,687,166
6.7,789,168
6.8,723,170
6.9,567,171
7.0,376,172
7.1,245,173
7.2,167,174
7.3,145,175
7.4,134,176
7.5,156,177
7.6,187,178
7.7,298,179
7.8,476,180
7.9,645,180
8.0,734,180
8.1,678,180
8.2,534,180
8.3,354,180
8.4,234,180
8.5,156,180
8.6,134,180
8.7,128,180
8.8,145,180
8.9,187,180
9.0,287,180
9.1,445,180
9.2,587,180
9.3,678,180
9.4,623,180
9.5,498,180
9.6,334,179
9.7,223,179
9.8,156,179
9.9,134,179
10.0,128,179
10.1,134,179
10.2,167,179
10.3,256,179
10.4,398,179
10.5,534,179
10.6,623,178
10.7,576,178
10.8,467,178
10.9,312,178
11.0,198,178
11.1,145,178
11.2,132,178
11.3,128,178
11.4,145,178
11.5,198,178
11.6,312,177
11.7,445,177
11.8,534,177
11.9,498,177
12.0,423,177
12.1,298,177
12.2,187,177
12.3,143,177
12.4,132,177
12.5,128,176
12.6,134,176
12.7,167,176
12.8,267,176
12.9,387,176
13.0,476,176
13.1,445,176
13.2,387,176
13.3,267,175
13.4,176,175
13.5,143,175
13.6,132,175
13.7,128,175
13.8,134,175
13.9,156,175
14.0,234,174
14.1,345,174
14.2,423,174
14.3,398,174
14.4,345,174
14.5,245,174
14.6,167,174
14.7,143,173
14.8,132,173
14.9,128,173
15.0,134,173
15.1,156,173
15.2,223,173
15.3,312,172
15.4,376,172
15.5,354,172
15.6,312,172
15.7,223,172
15.8,156,172
15.9,134,171
16.0,128,171
16.1,125,171
16.2,134,171
16.3,167,171
16.4,245,171
16.5,312,170
16.6,298,170
16.7,267,170
16.8,198,170
16.9,145,170
17.0,132,169
17.1,128,169
17.2,125,169
17.3,132,169
17.4,156,169
17.5,198,168
17.6,267,168
17.7,245,168
17.8,223,168
17.9,167,168
18.0,134,167
18.1,128,167
18.2,125,167
18.3,128,167
18.4,143,166
18.5,176,166
18.6,223,166
18.7,198,166
18.8,176,165
18.9,143,165
19.0,132,165
19.1,128,164
19.2,125,164
19.3,128,164
19.4,134,163
19.5,156,163
19.6,187,163
19.7,167,162
19.8,145,162
19.9,132,162
20.0,128,161
20.1,125,161
20.2,123,160
20.3,123,160
20.4,123,159
20.5,123,159
20.6,123,158
20.7,123,158
20.8,123,157
20.9,123,157
21.0,123,156
21.1,123,156
21.2,123,155
21.3,123,155
21.4,123,154
21.5,123,154
21.6,123,153
21.7,123,153
21.8,123,152
21.9,123,152
22.0,123,151
22.1,123,151
22.2,123,150
22.3,123,150
22.4,123,149
22.5,123,149
22.6,123,148
22.7,123,148
22.8,123,147
22.9,123,147
23.0,123,146
23.1,123,146
23.2,123,145
23.3,123,145
23.4,123,144
23.5,123,144
23.6,123,143
23.7,123,143
23.8,123,142
23.9,123,142
24.0,123,141
24.1,123,141
24.2,123,140
24.3,123,140
24.4,123,139
24.5,123,139
24.6,123,138
24.7,123,138
24.8,123,137
24.9,123,137
25.0,123,136
25.1,123,136
25.2,123,135
25.3,123,135
25.4,123,134
25.5,123,134
25.6,123,133
25.7,123,133
25.8,123,132
25.9,123,132
26.0,123,131
26.1,123,131
26.2,123,130
26.3,123,130
26.4,123,129
26.5,123,129
26.6,123,128
26.7,123,128
26.8,123,127
26.9,123,127
27.0,123,126
27.1,123,126
27.2,123,125
27.3,123,125
27.4,123,124
27.5,123,124
27.6,123,123
27.7,123,123
27.8,123,122
27.9,123,122
28.0,123,121
28.1,123,121
28.2,123,120
28.3,123,120
28.4,123,119
28.5,123,119
28.6,123,118
28.7,123,118
28.8,123,117
28.9,123,117
29.0,123,116
29.1,123,116
29.2,123,115
29.3,123,115
29.4,123,114
29.5,123,114
29.6,123,113
29.7,123,113
29.8,123,112
29.9,123,112
30.0,123,111
30.1,123,111
30.2,123,110
30.3,123,110
30.4,123,109
30.5,123,109
30.6,123,108
30.7,123,108
30.8,123,107
30.9,123,107
31.0,123,106
31.1,123,106
31.2,123,105
31.3,123,105
31.4,123,104
31.5,123,104
31.6,123,103
31.7,123,103
31.8,123,102
31.9,123,102
32.0,123,101
32.1,123,101
32.2,123,100
32.3,123,100
32.4,123,99
32.5,123,99
32.6,123,98
32.7,123,98
32.8,123,97
32.9,123,97
33.0,123,96
33.1,123,96
33.2,123,95
33.3,123,95
33.4,123,94
33.5,123,94
33.6,123,93
33.7,123,93
33.8,123,92
33.9,123,92
34.0,123,91
34.1,123,91
34.2,123,90
34.3,123,90
34.4,123,89
34.5,123,89
34.6,123,88
34.7,123,88
34.8,123,87
34.9,123,87
35.0,123,86
